name,url,images
Superstar Shoes,https://www.adidas.com/us/superstar-shoes/EF5398.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/66ae50f73aa14e8d8b8aab0000d1acb5_9366/superstar-shoes.jpg"
X Crazyfast.1 Firm Ground Soccer Cleats,https://www.adidas.com/us/x-crazyfast.1-firm-ground-soccer-cleats/IE4209.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/755b23abef41452f823de11a1759f2c7_9366/x-crazyfast.1-firm-ground-soccer-cleats.jpg"
Superstar Comfort Closure Shoes Kids,https://www.adidas.com/us/superstar-comfort-closure-shoes-kids/ID7264.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/93e629cf4b414a3fb3549b1e51a98506_9366/superstar-comfort-closure-shoes-kids.jpg"
Gazelle Comfort Closure Shoes Kids,https://www.adidas.com/us/gazelle-comfort-closure-shoes-kids/IE8706.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d386d1c8c8bf4062abcb355702d9d9ff_9366/gazelle-comfort-closure-shoes-kids.jpg"
X_PLRPHASE Shoes Kids,https://www.adidas.com/us/x_plrphase-shoes-kids/IF2760.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/9d385fa3c38a42b08d05c9dfa4233086_9366/x_plrphase-shoes-kids.jpg"
NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/GY4265.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/01a842da652c4e4f98c0ae93007a10e6_9366/nmd_v3-shoes.jpg"
Campus 00s Shoes,https://www.adidas.com/us/campus-00s-shoes/IF3968.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d7b54da13cd442889bdd6dd5261290ff_9366/campus-00s-shoes.jpg"
NMD_R1 Refined Shoes,https://www.adidas.com/us/nmd_r1-refined-shoes/H02344.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7ae18ccf37d44c6d910aad1a01383b53_9366/nmd_r1-refined-shoes.jpg"
Ownthegame 2.0 Shoes,https://www.adidas.com/us/ownthegame-2.0-shoes/IF2696.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/037929de430a4ecab936afb10142a289_9366/ownthegame-2.0-shoes.jpg"
Altaventure Sport Swim Sandals,https://www.adidas.com/us/altaventure-sport-swim-sandals/GV7807.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/cffcf2dca0ea428c8611ad6600f52d18_9366/altaventure-sport-swim-sandals.jpg"
VL Court 3.0 Shoes Kids,https://www.adidas.com/us/vl-court-3.0-shoes-kids/ID6313.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/68d2801efb4b4b8d99c0403fae1bbc28_9366/vl-court-3.0-shoes-kids.jpg"
Lite Racer Adapt 5.0,https://www.adidas.com/us/lite-racer-adapt-5.0/HQ3560.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c45e83ed32fc47e39400ae97013fa42b_9366/lite-racer-adapt-5.0.jpg"
X Crazyfast.3 Firm Ground Soccer Cleats,https://www.adidas.com/us/x-crazyfast.3-firm-ground-soccer-cleats/ID9355.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d47f4f8425bc45ecb2f787236fa6c75c_9366/x-crazyfast.3-firm-ground-soccer-cleats.jpg"
UBOUNCE DNA C,https://www.adidas.com/us/ubounce-dna-c/IF6807.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/1d636e79c4e54c02a9787d8fc5061cb8_9366/ubounce-dna-c.jpg"
OZWEEGO Shoes Kids,https://www.adidas.com/us/ozweego-shoes-kids/IG7436.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/617e36c8072d4f158af5ec93ac9c50e6_9366/ozweego-shoes-kids.jpg"
NMD_V3 Shoes,https://www.adidas.com/us/nmd_v3-shoes/GZ4311.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/79ee7e9e005341398a2cae46012df389_9366/nmd_v3-shoes.jpg"
Stan Smith Comfort Closure Shoes Kids,https://www.adidas.com/us/stan-smith-comfort-closure-shoes-kids/IE8114.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/bd46b64cf9114c4b9e8f70d9324a12a3_9366/stan-smith-comfort-closure-shoes-kids.jpg"
Disney Breaknet 2.0 Shoes Kids,https://www.adidas.com/us/disney-breaknet-2.0-shoes-kids/ID8021.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/43e0c3c497af48a2917b77a32075b9fe_9366/disney-breaknet-2.0-shoes-kids.jpg"
