name,url,images
Forum Low x The Grinch Shoes,https://www.adidas.com/us/forum-low-x-the-grinch-shoes/ID3512.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0aa7749b049f41a2b75dcbd32910cb3b_9366/forum-low-x-the-grinch-shoes.jpg"
Adicane Clogs,https://www.adidas.comhttps://www.adidas.com/us/adicane-clogs/HQ9918.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/91746f10ab844bdcbe10af4701583889_9366/adicane-clogs.jpg"
Sambae Shoes,https://www.adidas.comhttps://www.adidas.com/us/sambae-shoes/ID0440.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/87230f49c8554e09a7149063590c89ca_9366/sambae-shoes.jpg"
Nizza Platform Shoes,https://www.adidas.comhttps://www.adidas.com/us/nizza-platform-shoes/FV5322.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/82dde22969f345e5aaa9abeb000f2e3d_9366/nizza-platform-shoes.jpg"
Samba OG Shoes,https://www.adidas.com/us/samba-og-shoes/IE7011.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8b556efdb3b748b88de0d5ae601a23b0_9366/samba-og-shoes.jpg"
Superstar Shoes,https://www.adidas.com/us/superstar-shoes/EG4958.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8d3ab16a86e64571b405aad600bad099_9366/superstar-shoes.jpg"
Samba OG Shoes,https://www.adidas.com/us/samba-og-shoes/IE7013.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8ae9549e26654512aa180904583de268_9366/samba-og-shoes.jpg"
Forum Low Shoes,https://www.adidas.com/us/forum-low-shoes/IE7176.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/308d70455df149ee9535afb3000400ab_9366/forum-low-shoes.jpg"
Gazelle Bold Shoes,https://www.adidas.com/us/gazelle-bold-shoes/HQ6912.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/9a6a98cd0bb54b0e8bf0af460108b18a_9366/gazelle-bold-shoes.jpg"
X_PLRBOOST Shoes,https://www.adidas.com/us/x_plrboost-shoes/HP3130.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/bfa7fcef91a442ba96b8af56015b5700_9366/x_plrboost-shoes.jpg"
Samba OG Shoes,https://www.adidas.com/us/samba-og-shoes/IF6514.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3df6870a89ac4cdfa7bbae45c4dacebc_9366/samba-og-shoes.jpg"
Lite Racer Adapt 6.0 Shoes,https://www.adidas.com/us/lite-racer-adapt-6.0-shoes/IF7360.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8c8c682ea2a548d4ac7cae8b167cd2f8_9366/lite-racer-adapt-6.0-shoes.jpg"
X_PLRBOOST Shoes,https://www.adidas.com/us/x_plrboost-shoes/HP3131.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f7cba03f28c34bf8a266af56015674bc_9366/x_plrboost-shoes.jpg"
Runfalcon 3 Cloudfoam Low Running Shoes,https://www.adidas.com/us/runfalcon-3-cloudfoam-low-running-shoes/HQ3790.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/502290d41d3f49e4a9c2af3b0171e2ea_9366/runfalcon-3-cloudfoam-low-running-shoes.jpg"
Samba Classic Shoes,https://www.adidas.com/us/samba-classic-shoes/772109.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f692c3a18720487a82f0a5b600a5cedf_9366/samba-classic-shoes.jpg"
Samba Classic,https://www.adidas.com/us/samba-classic/034563.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/9a1c1af88f044d2288d2a5a90114db97_9366/samba-classic.jpg"
Stan Smith Lux Shoes,https://www.adidas.com/us/stan-smith-lux-shoes/ID0985.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/118e5510acb244c6b43491b9e7010d86_9366/stan-smith-lux-shoes.jpg"
Swift Run Shoes,https://www.adidas.com/us/swift-run-shoes/EE4442.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4051e40bf3fd4aff9964aa2a01241def_9366/swift-run-shoes.jpg"
Sambae Shoes,https://www.adidas.com/us/sambae-shoes/ID0438.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/cca3d30b3609467f8f4c67304c1c100b_9366/sambae-shoes.jpg"
Adilette Comfort Slides,https://www.adidas.com/us/adilette-comfort-slides/GZ5896.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/f0914748b60d4544b7a3ad6e00cc2b23_9366/adilette-comfort-slides.jpg"
Samba OG Shoes,https://www.adidas.com/us/samba-og-shoes/IG1024.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/80a951792b4149f5b62dafab00f9ca9e_9366/samba-og-shoes.jpg"
Superstar XLG Shoes,https://www.adidas.com/us/superstar-xlg-shoes/IG9777.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/5fb482a8723f4a029e1c75e21059657e_9366/superstar-xlg-shoes.jpg"
NMD_R1 Shoes,https://www.adidas.com/us/nmd_r1-shoes/GZ9261.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/bbe20c21b6194528a2f4ad6a00f9c1c2_9366/nmd_r1-shoes.jpg"
Swift Run 1.0 Shoes,https://www.adidas.com/us/swift-run-1.0-shoes/IE7476.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4dc9c07ee90e464b942b2bd1fa73cb5b_9366/swift-run-1.0-shoes.jpg"
Adifom Climacool Shoes,https://www.adidas.com/us/adifom-climacool-shoes/IF3906.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/499c8f00cf0d4958a705c5b7ce756b0e_9366/adifom-climacool-shoes.jpg"
X_PLRBOOST Shoes,https://www.adidas.com/us/x_plrboost-shoes/IF2921.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/fba27d9497e44d9dbf7889f33a21fba9_9366/x_plrboost-shoes.jpg"
Pureboost 23 Running Shoes,https://www.adidas.com/us/pureboost-23-running-shoes/IF1548.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d3e3a224e4c84f80ad2e4d8d34ab4e0e_9366/pureboost-23-running-shoes.jpg"
TERREX Free Hiker 2.0 Hiking Shoes,https://www.adidas.com/us/terrex-free-hiker-2.0-hiking-shoes/IF4921.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/870dc2efbceb4297aafe0be485666fee_9366/terrex-free-hiker-2.0-hiking-shoes.jpg"
Samba Shoes,https://www.adidas.com/us/samba-shoes/IG1242.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/84c7fbe93513440785964b902ccdbf27_9366/samba-shoes.jpg"
Stan Smith Recon Shoes,https://www.adidas.comhttps://www.adidas.com/us/stan-smith-recon-shoes/IH0018.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/350014bc300d4ee4be46318092a954ca_9366/stan-smith-recon-shoes.jpg"
Kaptir 3.0 Shoes,https://www.adidas.com/us/kaptir-3.0-shoes/IF7317.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/20fe50c8bb4c446ab005769412aa5da7_9366/kaptir-3.0-shoes.jpg"
Stan Smith Shoes,https://www.adidas.com/us/stan-smith-shoes/FX5502.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/4e8ad905b6b446b896a3ac1e01049147_9366/stan-smith-shoes.jpg"
Adilette 22 Slides,https://www.adidas.comhttps://www.adidas.com/us/adilette-22-slides/HQ4672.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/0011acfa6bc545fbae05af4200f53584_9366/adilette-22-slides.jpg"
Stan Smith Lux Shoes,https://www.adidas.com/us/stan-smith-lux-shoes/HQ6787.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/38d40c824ed84b12b641af17005a5dec_9366/stan-smith-lux-shoes.jpg"
