name,price,description,review_count,avg_rating,scraped_at,color,brand,currency,url,availability
Gazelle Shoes,80,, 4789,4.8,2023-12-13 11:21:16,Pink Tint / Cloud White / Cloud White,Adidas,USD,https://www.adidas.com//us/gazelle-shoes/H01512.html,INSTOCK
Superstar Shoes,80,, 1656,4.9,2023-12-13 11:21:23,Core Black / Cloud White / Core Black,Adidas,USD,https://www.adidas.com//us/superstar-shoes/EF5398.html,INSTOCK
X Crazyfast.1 Firm Ground Soccer Cleats,98,, 38,4.6,2023-12-13 11:21:25,Bright Royal / Cloud White / Solar Red,Adidas,USD,https://www.adidas.com//us/x-crazyfast.1-firm-ground-soccer-cleats/IE4209.html,INSTOCK
Superstar Comfort Closure Shoes Kids,75,, 2,3.0,2023-12-13 11:21:36,Core Black / Core Black / Gold Metallic,Adidas,USD,https://www.adidas.com//us/superstar-comfort-closure-shoes-kids/ID7264.html,INSTOCK
Gazelle Comfort Closure Shoes Kids,60,, 21,4.9,2023-12-13 11:21:37,Collegiate Green / Preloved Red S23 / Gum,Adidas,USD,https://www.adidas.com//us/gazelle-comfort-closure-shoes-kids/IE8706.html,INSTOCK
NMD_V3 Shoes,56,, 47,4.8,2023-12-13 11:21:45,Crystal White / Cloud White / Pulse Magenta,Adidas,USD,https://www.adidas.com//us/nmd_v3-shoes/GY4265.html,INSTOCK
X_PLRPHASE Shoes Kids,80,, 53,4.6,2023-12-13 11:21:47,Core Black / Core Black / Cloud White,Adidas,USD,https://www.adidas.com//us/x_plrphase-shoes-kids/IF2760.html,INSTOCK
Campus 00s Shoes,90,, 21,5.0,2023-12-13 11:21:50,Bliss Pink F22 / Solar Red / Cloud White,Adidas,USD,https://www.adidas.com//us/campus-00s-shoes/IF3968.html,INSTOCK
Ownthegame 2.0 Shoes,60,, 290,4.8,2023-12-13 11:21:56,Cloud White / Flash Aqua / Lucid Pink,Adidas,USD,https://www.adidas.com//us/ownthegame-2.0-shoes/IF2696.html,INSTOCK
Altaventure Sport Swim Sandals,30,, 113,4.7,2023-12-13 11:21:57,Core Black / Cloud White / Halo Silver,Adidas,USD,https://www.adidas.com//us/altaventure-sport-swim-sandals/GV7807.html,INSTOCK
NMD_R1 Refined Shoes,85,, 181,4.6,2023-12-13 11:21:58,Cloud White / Cloud White / Grey One,Adidas,USD,https://www.adidas.com//us/nmd_r1-refined-shoes/H02344.html,INSTOCK
VL Court 3.0 Shoes Kids,55,,,"(None,)",2023-12-13 11:22:01,Core Black / Cloud White / Core Black,Adidas,USD,https://www.adidas.com//us/vl-court-3.0-shoes-kids/ID6313.html,INSTOCK
X Crazyfast.3 Firm Ground Soccer Cleats,70,, 196,4.8,2023-12-13 11:22:03,Core Black / Core Black / Core Black,Adidas,USD,https://www.adidas.com//us/x-crazyfast.3-firm-ground-soccer-cleats/ID9355.html,INSTOCK
UBOUNCE DNA C,65,,,"(None,)",2023-12-13 11:22:04,Grey Three / Grey Five / Grey Two,Adidas,USD,https://www.adidas.com//us/ubounce-dna-c/IF6807.html,INSTOCK
OZWEEGO Shoes Kids,70,, 10,4.9,2023-12-13 11:22:07,Magic Beige F22 / Magic Beige F22 / Sand Strata S23,Adidas,USD,https://www.adidas.com//us/ozweego-shoes-kids/IG7436.html,INSTOCK
NMD_V3 Shoes,42,, 22,4.8,2023-12-13 11:22:10,Core Black / Core Black / Cloud White,Adidas,USD,https://www.adidas.com//us/nmd_v3-shoes/GZ4311.html,INSTOCK
Stan Smith Comfort Closure Shoes Kids,60,,,"(None,)",2023-12-13 11:22:13,Cloud White / Cloud White / Blue Bird,Adidas,USD,https://www.adidas.com//us/stan-smith-comfort-closure-shoes-kids/IE8114.html,INSTOCK
Disney Breaknet 2.0 Shoes Kids,38,,,"(None,)",2023-12-13 11:22:16,Cloud White / Core Black / Scarlet,Adidas,USD,https://www.adidas.com//us/disney-breaknet-2.0-shoes-kids/ID8021.html,INSTOCK
Lite Racer Adapt 5.0,42,, 719,4.7,2023-12-13 11:22:20,Core Black / Core Black / Grey Six,Adidas,USD,https://www.adidas.com//us/lite-racer-adapt-5.0/HQ3560.html,INSTOCK
Forum Mid Shoes Kids,50,, 1,5.0,2023-12-13 11:22:24,Cloud White / Easy Yellow / Crew Yellow,Adidas,USD,https://www.adidas.com//us/forum-mid-shoes-kids/IF2676.html,INSTOCK
Monofit Slip-On Shoes,40,, 112,4.7,2023-12-13 11:22:28,Clear Pink / Cloud White / Bliss Pink F22,Adidas,USD,https://www.adidas.com//us/monofit-slip-on-shoes/ID8399.html,INSTOCK
Samba Classic Shoes,70,, 473,4.7,2023-12-13 11:22:31,Core Black / Cloud White / Core Black,Adidas,USD,https://www.adidas.com//us/samba-classic-shoes/036516.html,INSTOCK
NMD_V3 Shoes,49,, 8,5.0,2023-12-13 11:22:38,Core Black / Cloud White / Team Semi Sol Yellow,Adidas,USD,https://www.adidas.com//us/nmd_v3-shoes/GW1481.html,INSTOCK
RunFalcon 3 Lace Shoes,55,, 221,4.7,2023-12-13 11:22:39,Lucid Blue S23 / Legend Ink / Cloud White,Adidas,USD,https://www.adidas.com//us/runfalcon-3-lace-shoes/HP5840.html,INSTOCK
NMD_V3 Shoes,45,, 46,4.6,2023-12-13 11:22:44,Core Black / Core Black / Core Black,Adidas,USD,https://www.adidas.com//us/nmd_v3-shoes/GX5683.html,INSTOCK
Ultraboost Light Running Shoes,64,, 28,4.4,2023-12-13 11:22:50,Carbon / Matte Silver / Beam Pink,Adidas,USD,https://www.adidas.com//us/ultraboost-light-running-shoes/H06371.html,INSTOCK
Racer TR23 Shoes Kids,55,, 165,4.7,2023-12-13 11:22:54,Legend Ink / Cloud White / Gum,Adidas,USD,https://www.adidas.com//us/racer-tr23-shoes-kids/IF3261.html,INSTOCK
Superstar Boots Kids,35,, 22,4.6,2023-12-13 11:22:57,Olive Strata / Olive Strata / Cloud White,Adidas,USD,https://www.adidas.com//us/superstar-boots-kids/IG2561.html,INSTOCK
Grand Court Shoes,50,, 509,4.6,2023-12-13 11:23:00,Cloud White / Core Black / Core Black,Adidas,USD,https://www.adidas.com//us/grand-court-shoes/GW6521.html,INSTOCK
NMD_V3 Shoes,49,, 8,5.0,2023-12-13 11:23:06,Cloud White / Pulse Blue / Cloud White,Adidas,USD,https://www.adidas.com//us/nmd_v3-shoes/GY4282.html,INSTOCK
Superstar 360 Shoes,36,, 3,5.0,2023-12-13 11:23:10,Core Black / Core Black / Cloud White,Adidas,USD,https://www.adidas.com//us/superstar-360-shoes/Q46178.html,INSTOCK
Superstar XLG Shoes Kids,81,, 22,4.6,2023-12-13 11:23:15,Cloud White / Better Scarlet / Cloud White,Adidas,USD,https://www.adidas.com//us/superstar-xlg-shoes-kids/IF0551.html,INSTOCK
Stan Smith Shoes,54,, 51,4.9,2023-12-13 11:23:17,Cloud White / Cloud White / Green,Adidas,USD,https://www.adidas.com//us/stan-smith-shoes/FX7532.html,INSTOCK
NMD_S1 Shoes,63,, 19,4.8,2023-12-13 11:23:21,Core Black / Grey Five / Off White,Adidas,USD,https://www.adidas.com//us/nmd_s1-shoes/GW2186.html,INSTOCK
Runfalcon 2.0 Shoes,27,, 467,4.7,2023-12-13 11:23:24,Almost Blue F22 / Beam Pink F22 / Bliss Orange,Adidas,USD,https://www.adidas.com//us/runfalcon-2.0-shoes/HR1398.html,INSTOCK
Swift Run 22 Shoes,36,, 219,4.6,2023-12-13 11:23:31,True Pink / Cloud White / Vivid Pink,Adidas,USD,https://www.adidas.com//us/swift-run-22-shoes/GW8181.html,INSTOCK
Superstar Shoes,55,, 446,4.9,2023-12-13 11:23:34,Cloud White / Core Black / Cloud White,Adidas,USD,https://www.adidas.com//us/superstar-shoes/EF4842.html,INSTOCK
Trae Young 3 Basketball Shoes,120,,,"(None,)",2023-12-13 11:23:36,Lucid Cyan / True Blue / Lucid Cyan,Adidas,USD,https://www.adidas.com//us/trae-young-3-basketball-shoes/IF2115.html,INSTOCK
Racer TR21 Shoes,39,, 193,4.6,2023-12-13 11:23:41,Royal Blue / Cloud White / Beam Orange F22,Adidas,USD,https://www.adidas.com//us/racer-tr21-shoes/GW6588.html,INSTOCK
Superstar Shoes,55,, 648,4.9,2023-12-13 11:23:44,Cloud White / Core Black / Cloud White,Adidas,USD,https://www.adidas.com//us/superstar-shoes/FU7714.html,INSTOCK
Superstar Shoes,65,, 648,4.9,2023-12-13 11:23:46,Cloud White / Cloud White / Cloud White,Adidas,USD,https://www.adidas.com//us/superstar-shoes/EF5395.html,INSTOCK
UBOUNCE DNA C,65,,,"(None,)",2023-12-13 11:23:52,Cloud White / Cloud White / Core Black,Adidas,USD,https://www.adidas.com//us/ubounce-dna-c/IF6806.html,INSTOCK
Racer TR23 Shoes Kids,55,, 165,4.7,2023-12-13 11:23:56,Cloud White / Core Black / Bright Red,Adidas,USD,https://www.adidas.com//us/racer-tr23-shoes-kids/IG4911.html,INSTOCK
OZWEEGO Shoes Kids,80,, 13,4.9,2023-12-13 11:23:59,Magic Beige F22 / Magic Beige F22 / Sand Strata S23,Adidas,USD,https://www.adidas.com//us/ozweego-shoes-kids/IG7426.html,INSTOCK
