name,url,images
Two-Piece Long Sleeve Hooded Pullover & Elastic Waistband Jogger Set,https://www.adidas.com//us/two-piece-long-sleeve-hooded-pullover---elastic-waistband-jogger-set/IR4013.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e796073f8ed7445296a012a61cb2345d_9366/two-piece-long-sleeve-hooded-pullover---elastic-waistband-jogger-set.jpg"
Techfit 22 Tights,https://www.adidas.com//us/techfit-22-tights/GA8674.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/a7c8ed428c6941ffbbe2af380122675c_9366/techfit-22-tights.jpg"
Adicolor Crew Sweatshirt,https://www.adidas.com//us/adicolor-crew-sweatshirt/IJ9814.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/61f44c08cfe941cb9285afc700aa8db4_9366/adicolor-crew-sweatshirt.jpg"
Camo SST Track Jacket,https://www.adidas.com//us/camo-sst-track-jacket/IP0266.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/a7adc3e2a95f46ba972785e00cdcafbe_9366/camo-sst-track-jacket.jpg"
Adicolor Hoodie Set,https://www.adidas.com//us/adicolor-hoodie-set/HK2955.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/fcdcfdbc788f45ec8d7cae580140544c_9366/adicolor-hoodie-set.jpg"
Adicolor Trefoil Hoodie,https://www.adidas.com//us/adicolor-trefoil-hoodie/IJ7204.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/e7041fb9251848c7b7cd75a45a27238a_9366/adicolor-trefoil-hoodie.jpg"
Two-Piece Long Sleeve Hooded Pullover & Elastic Waistband Jogger Set,https://www.adidas.com//us/two-piece-long-sleeve-hooded-pullover---elastic-waistband-jogger-set/IR4015.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7cfc94a3d64548f69f2f6e6620934cb9_9366/two-piece-long-sleeve-hooded-pullover---elastic-waistband-jogger-set.jpg"
Messi Fresh Tee Kids,https://www.adidas.com//us/messi-fresh-tee-kids/JF1824.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/b8449da4431a4ba494434aa8b7e6f1ef_9366/messi-fresh-tee-kids.jpg"
Adicolor Trefoil Tee,https://www.adidas.com//us/adicolor-trefoil-tee/IJ7179.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d6b3f0f7479b4c2a84466b9dfc680b82_9366/adicolor-trefoil-tee.jpg"
Adicolor Half-Zip Sweatshirt,https://www.adidas.com//us/adicolor-half-zip-sweatshirt/HK0336.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c8c46b48683e4928adcbae5500aaa4ab_9366/adicolor-half-zip-sweatshirt.jpg"
