name,url,images
Adicolor Classics SST Track Jacket,https://www.adidas.com/us/adicolor-classics-sst-track-jacket/IM4545.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/8c997fa1a77a4dacbec2afc3009878da_9366/adicolor-classics-sst-track-jacket.jpg"
Own the Run Astro Knit Pants,https://www.adidas.com/us/own-the-run-astro-knit-pants/HN0806.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/2cf30d899b0b4d5ab94f9616b3776661_9366/own-the-run-astro-knit-pants.jpg"
Essentials Fleece 3-Stripes Tapered Cuff Pants,https://www.adidas.com/us/essentials-fleece-3-stripes-tapered-cuff-pants/IJ8885.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3071eb1142ac4c06962dc13777be7278_9366/essentials-fleece-3-stripes-tapered-cuff-pants.jpg"
Primeblue Designed 2 Move Sport 3-Stripes Shorts,https://www.adidas.com/us/primeblue-designed-2-move-sport-3-stripes-shorts/GM2127.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/99461a67f09d482ebdb5ac8300bc3dc6_9366/primeblue-designed-2-move-sport-3-stripes-shorts.jpg"
Tiro 23 Competition Anthem Pants,https://www.adidas.com/us/tiro-23-competition-anthem-pants/IA0630.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ec60d4a08f6247828b1ae0d5bd973972_9366/tiro-23-competition-anthem-pants.jpg"
Essentials Fleece Tapered Cuff Big Logo Pants,https://www.adidas.com/us/essentials-fleece-tapered-cuff-big-logo-pants/IB4025.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3fc42e6506a5466aa38dafc40076ec44_9366/essentials-fleece-tapered-cuff-big-logo-pants.jpg"
Adicolor Outline Trefoil Pants,https://www.adidas.com/us/adicolor-outline-trefoil-pants/IR7984.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/fe52dc05dd91461480890b68778ff8ee_9366/adicolor-outline-trefoil-pants.jpg"
Tiro 23 League Pants,https://www.adidas.com/us/tiro-23-league-pants/HS7232.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/bf9cb1cf4d5541e984e9aefa00b6e59d_9366/tiro-23-league-pants.jpg"
Adicolor Contempo Crew Sweatshirt,https://www.adidas.com/us/adicolor-contempo-crew-sweatshirt/IM2113.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/2a90def39f254ff5b8f27d0fccb73cd2_9366/adicolor-contempo-crew-sweatshirt.jpg"
Adicolor Contempo Hoodie,https://www.adidas.com/us/adicolor-contempo-hoodie/IM2116.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/403805f44c084fe78d272cec1913dde6_9366/adicolor-contempo-hoodie.jpg"
Designed 4 Training CORDURA Workout Shorts,https://www.adidas.com/us/designed-4-training-cordura-workout-shorts/IL1382.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/76229f09af8b46fa952cafd300dca1e1_9366/designed-4-training-cordura-workout-shorts.jpg"
Adicolor Classics 3-Stripes Tee,https://www.adidas.com/us/adicolor-classics-3-stripes-tee/IM0410.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7a362224a00d4613b5d4afcd01443407_9366/adicolor-classics-3-stripes-tee.jpg"
Adicolor Contempo Tee,https://www.adidas.com/us/adicolor-contempo-tee/IM4392.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ce3c7e48e666471884ccb3fe1c579888_9366/adicolor-contempo-tee.jpg"
Adicolor Down Regen Hooded Puffer Jacket,https://www.adidas.com/us/adicolor-down-regen-hooded-puffer-jacket/IL2566.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/b098f86ab549431180e7d41fc034ece5_9366/adicolor-down-regen-hooded-puffer-jacket.jpg"
Essentials Fleece 3-Stripes Full-Zip Hoodie,https://www.adidas.com/us/essentials-fleece-3-stripes-full-zip-hoodie/IJ6492.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/515b7b47f7e24d89badcd4b328b31248_9366/essentials-fleece-3-stripes-full-zip-hoodie.jpg"
adidas Basketball Velour 1/2-Zip Sweatshirt,https://www.adidas.com/us/adidas-basketball-velour-1-2-zip-sweatshirt/IA1989.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/50e5437d0708485885f7afa30009784d_faec/adidas-basketball-velour-1-2-zip-sweatshirt.jpg"
Ultimate365 Golf Pants,https://www.adidas.com/us/ultimate365-golf-pants/IU2835.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/b1932f82e5cc4b9b97395e3e59f6ea44_9366/ultimate365-golf-pants.jpg"
Terrex XPLORIC High-Pile-Fleece Pullover,https://www.adidas.com/us/terrex-xploric-high-pile-fleece-pullover/IN3107.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/15a76789d98a4a549b381adc032b71fa_9366/terrex-xploric-high-pile-fleece-pullover.jpg"
Ultimate365 10-Inch Golf Shorts,https://www.adidas.com/us/ultimate365-10-inch-golf-shorts/HR7951.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/ab0c25b9542c4aa8999daf2b0006d02b_9366/ultimate365-10-inch-golf-shorts.jpg"
Graphics Animal Adibreak Pants,https://www.adidas.com/us/graphics-animal-adibreak-pants/IL5192.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/d08c9f61083542d78631eafb27e0583e_9366/graphics-animal-adibreak-pants.jpg"
Train Essentials Seasonal Camo Tee,https://www.adidas.com/us/train-essentials-seasonal-camo-tee/IM7447.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/3d6a1947f1654fe4aeaea4ca529753eb_9366/train-essentials-seasonal-camo-tee.jpg"
Designed for Training Tee,https://www.adidas.com/us/designed-for-training-tee/IL1444.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/bd70446e6e8b4b75b725f9ba52f3719c_9366/designed-for-training-tee.jpg"
Basketball Select Jacket,https://www.adidas.com/us/basketball-select-jacket/IL2190.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/65a2bbd2f58b4a5cb226afa6001926eb_9366/basketball-select-jacket.jpg"
City Break Shorts,https://www.adidas.com/us/city-break-shorts/IR9094.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/b685fde08c544f35b205a99ba87f4c89_9366/city-break-shorts.jpg"
Trefoil Essentials Hoodie,https://www.adidas.com/us/trefoil-essentials-hoodie/IM4524.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/c0edde46c92d4b3181e01a7abed7143c_9366/trefoil-essentials-hoodie.jpg"
Lightweight COLD.RDY Quarter-Zip Sweatshirt,https://www.adidas.com/us/lightweight-cold.rdy-quarter-zip-sweatshirt/HZ3199.html,"https://assets.adidas.com/images/w_383,h_383,f_auto,q_auto,fl_lossy,c_fill,g_auto/7a6bd4f153334610b00eafcf0120d1a1_9366/lightweight-cold.rdy-quarter-zip-sweatshirt.jpg"
